file_urls,type,model,brand,product,thumb,url,source,product_lang
https://www.maxx-world.de/media/catalog/product/0/4/04318_de-en-fr-nl-pl_a5_gm_v1_gallin.pdf,Bedienungsanleitung,04318200325,VITALmaxx,"VenenWalker® Therapiegerät VenenWalker Pro2 230V, weiß/türkis",https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/4/3/4318_04.jpg,https://www.maxx-world.de/marken/vitalmaxx/vitalmaxx-therapiegeraet-venenwalker-pro2-230v-weiss-tuerkis,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/l/g/lg_de-en-fr-nl_a4_v1_gallin_1.pdf,Bedienungsanleitung,03875200625,SLIMmaxx, Gürtel Automatik,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/3/8/3875_02.jpg,https://www.maxx-world.de/marken/slimmaxx/slimmaxx-guertel-automatik-klick-leder-130-cm-in-schwarz,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/l/g/lg_de-en-fr-nl_a4_v1_gallin.pdf,Bedienungsanleitung,03882200625,SLIMmaxx, Gürtel Automatik,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/3/8/3882_02.jpg,https://www.maxx-world.de/marken/slimmaxx/slimmaxx-guertel-automatik-klick-leder-130-cm-in-braun,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/2/02392_de_180x140_gm_v1.pdf,Bedienungsanleitung,02392200200,VITALmaxx,Schmerztherapie,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/2/3/2392_01.jpg,https://www.maxx-world.de/marken/vitalmaxx/schmerztherapie-geraet-ultraschall-24-volt-weiss-tuerkis,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/2/02621_02622_02623_02624_02625_de-en-fr-es-it_a5_v1_gallin.pdf,Bedienungsanleitung,02625200200,N8WERK, Aluguss,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/2/6/2625_01.jpg,https://www.maxx-world.de/marken/n8werk/n8werk-aluguss-stielkasserolle-18-cm-n8werk-heat-indicator-midnight-edition,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/2/02916_de-en-fr-nl_330x140_fcb_v1.2_gallin.pdf,Bedienungsanleitung,02916200419,FC BAYERN MÜNCHEN, USB,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/2/9/2916_02.jpg,https://www.maxx-world.de/marken/fc-bayern-muenchen/fc-bayern-muenchen-usb-feuerzeug-mit-gluehspirale-schwarz,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/6/06897_de-en-fr-nl_a4_v1_gallin.pdf,Bedienungsanleitung,06897200419,FC BAYERN MÜNCHEN, Soft,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/6/8/6897_05.jpg,https://www.maxx-world.de/marken/fc-bayern-muenchen/fc-bayern-muenchen-soft-boule-set-fuer-drinnen-draussen-7-tlg-blau-rot-grau,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/3/03976_de-en-fr-nl_a4_fcb_v3_gallin.pdf,Bedienungsanleitung,03976200219,FC BAYERN MÜNCHEN, LED,https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/3/9/3976_01.jpg,https://www.maxx-world.de/marken/fc-bayern-muenchen/fc-bayern-muenchen-led-motivstrahler-projiziert-das-fcb-logo-fuer-innen-aussen,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/5/05813_de-gb-fr-nl_v1_gallin.pdf,Bedienungsanleitung,05813200133,BRATmaxx," Kochtopf mit Glasdeckel rot, 24 cm",https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/5/8/5813_05_2_1.jpg,https://www.maxx-world.de/marken/bratmaxx/bratmaxx-kochtopf-mit-glasdeckel-rot-24-cm,maxx-world.de,de
https://www.maxx-world.de/media/catalog/product/0/5/05812_de-gb-fr-nl_a4_v1_gallin.pdf,Bedienungsanleitung,05812200133,BRATmaxx," Kochtopf mit Glasdeckel rot, 20 cm",https://www.maxx-world.de/media/catalog/product/cache/6/image/650x/040ec09b1e35df139433887a97daa66f/5/8/5812_05_2_1.jpg,https://www.maxx-world.de/marken/bratmaxx/bratmaxx-kochtopf-mit-glasdeckel-rot-20-cm,maxx-world.de,de
