file_urls,type,product,thumb,url,source,brand,product_lang,model
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/159/ContentDownload?h=fca145c4bbae8f08b5b77996f6029f703e24bc2ee05661400d6dfe5f56f28be9,Installation manual,Accessories for cooking appliances ,https://thetfordeurope.imgix.net/Document/712/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=a33dc8f85d62a3b9f4650ef82707923d,https://www.thetford-europe.com/gb/products/accessories/accessories-cooking-appliances/kitchen-centre,thetford-europe.com,Thetford,en,Kitchen Centre
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/2584/ContentDownload?h=6a3e966bd9c28c00b62e17891e1873528adce30aa128ac3856b123b1964b7bac,Brochure,Accessories for cooking appliances ,https://thetfordeurope.imgix.net/Document/712/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=a33dc8f85d62a3b9f4650ef82707923d,https://www.thetford-europe.com/gb/products/accessories/accessories-cooking-appliances/kitchen-centre,thetford-europe.com,Thetford,en,Kitchen Centre
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1298/ContentDownload?h=Spare_part_list_SBL1000_Argent_Bowl.pdf,Spare part list,Accessories for cooking appliances ,https://thetfordeurope.imgix.net/Document/712/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=a33dc8f85d62a3b9f4650ef82707923d,https://www.thetford-europe.com/gb/products/accessories/accessories-cooking-appliances/kitchen-centre,thetford-europe.com,Thetford,en,Kitchen Centre
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/198/ContentDownload?h=c6d968ebb6c83badca3515241f285a4c92e9504d12bc31acb7dbe997fd697044,User manual,Accessories for cooking appliances ,https://thetfordeurope.imgix.net/Document/712/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=a33dc8f85d62a3b9f4650ef82707923d,https://www.thetford-europe.com/gb/products/accessories/accessories-cooking-appliances/kitchen-centre,thetford-europe.com,Thetford,en,Kitchen Centre
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/928/ContentDownload?h=3a9c8e85e0f77d310010dbb92d35d35a0eecab86cb07f3f28be25ade4af4eda6,Spare part list,Cookers,https://thetfordeurope.imgix.net/Document/577/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=TRIPLEX_main_image&s=3af91d8e628df8ad3737d0c1248dc7ea,https://www.thetford-europe.com/gb/products/cooking-appliances/cookers/triplex-all-gas-gas-lid-shutoff,thetford-europe.com,Thetford,en,TRIPLEX 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1683/ContentDownload?h=Porta_Potti_565_UM.pdf,User manual,Accessories for portable toilets,https://thetfordeurope.imgix.net/Document/799/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=b675a9b27b5de130ea4e326666bd6315,https://www.thetford-europe.com/gb/products/accessories/porta-potti-accessories/floor-plate-porta-potti-565,thetford-europe.com,Thetford,en,Floor plate Porta Potti 565
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1692/ContentDownload?h=Spare_part_list_Porta_Potti_565.pdf,Spare part list,Accessories for portable toilets,https://thetfordeurope.imgix.net/Document/799/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=b675a9b27b5de130ea4e326666bd6315,https://www.thetford-europe.com/gb/products/accessories/porta-potti-accessories/floor-plate-porta-potti-565,thetford-europe.com,Thetford,en,Floor plate Porta Potti 565
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1719/ContentDownload?h=Spare_part_list_Porta_Potti_565.pdf,Spare part list,Accessories for portable toilets,https://thetfordeurope.imgix.net/Document/793/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=2c9c08afa73d0a4f8432d8fb31579200,https://www.thetford-europe.com/gb/products/accessories/porta-potti-accessories/hold-down-kit-porta-potti-165-and-365,thetford-europe.com,Thetford,en,Hold down Kit
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1728/ContentDownload?h=Porta_Potti_565_UM.pdf,User manual,Accessories for portable toilets,https://thetfordeurope.imgix.net/Document/793/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=2c9c08afa73d0a4f8432d8fb31579200,https://www.thetford-europe.com/gb/products/accessories/porta-potti-accessories/hold-down-kit-porta-potti-165-and-365,thetford-europe.com,Thetford,en,Hold down Kit
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1138/ContentDownload?h=a6ff5e14767fc011581dbcbd57b9f16974162fa99eaec9215f1c319c46a54363,Spare part list,12V refrigerators,https://thetfordeurope.imgix.net/Document/315/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=T1090_-_Floor_level_MAIN&s=bb5b1b2e6b51895cad7dd4379097d58a,https://www.thetford-europe.com/gb/products/refrigerators/12v-refrigerators/t1090-floor-level,thetford-europe.com,Thetford,en,T1090 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/83/ContentDownload?h=62f1e1a5a471e408df1e95427c42625847e226bdb451e053b61938df9e2af547,Brochure,Permanent  toilets,https://thetfordeurope.imgix.net/Document/270/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=b5b7c68c927589705c988ab0784b85df,https://www.thetford-europe.com/gb/products/toilets/permanent-toilets/electra-magic-24v,thetford-europe.com,Thetford,en,Electra Magic 24V 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/697/ContentDownload?h=Aqua_Magic_Owners_manual_42088_0612-revC.pdf,User manual,Permanent  toilets,https://thetfordeurope.imgix.net/Document/270/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=b5b7c68c927589705c988ab0784b85df,https://www.thetford-europe.com/gb/products/toilets/permanent-toilets/electra-magic-24v,thetford-europe.com,Thetford,en,Electra Magic 24V 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/2569/ContentDownload?h=d3bb954971fcede8c507a449aae460daae27aceea8f2ad6983e9d30c4f85cc3e,Brochure,Permanent  toilets,https://thetfordeurope.imgix.net/Document/856/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=ca9113bd514897cc623ffed4173ce16d,https://www.thetford-europe.com/gb/products/toilets/permanent-toilets/bravura-low,thetford-europe.com,Thetford,en,Bravura Low
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/693/ContentDownload?h=Electra_Magic_Owners_manual_35347-0212.pdf,User manual,Permanent  toilets,https://thetfordeurope.imgix.net/Document/857/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=main&s=4397ed49dcbb8604522c7479e0fe94f4,https://www.thetford-europe.com/gb/products/toilets/permanent-toilets/electra-magic-12v,thetford-europe.com,Thetford,en,Electra Magic 12V 
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/1905/ContentDownload?h=THETFORD_PortableToilet_infographic_EN_0718.pdf,Miscellaneous,Portable toilets,https://thetfordeurope.imgix.net/Document/291/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=Porta_Potti_565P_main&s=afb8b38d01c48b23a620737fd45e96c3,https://www.thetford-europe.com/gb/products/toilets/portable-toilets/porta-potti-565p,thetford-europe.com,Thetford,en,Porta Potti 565P
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/686/ContentDownload?h=Spare_part_list_Porta_Potti_565.pdf,Spare part list,Portable toilets,https://thetfordeurope.imgix.net/Document/291/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=Porta_Potti_565P_main&s=afb8b38d01c48b23a620737fd45e96c3,https://www.thetford-europe.com/gb/products/toilets/portable-toilets/porta-potti-565p,thetford-europe.com,Thetford,en,Porta Potti 565P
https://dffppahacqx22.cloudfront.net/api/v1/DocumentTranslation/93/ContentDownload?h=Porta_Potti_565_UM.pdf,User manual,Portable toilets,https://thetfordeurope.imgix.net/Document/291/ContentDownload?w=878&h=878&fit=clamp&auto=format&_hash=Porta_Potti_565P_main&s=afb8b38d01c48b23a620737fd45e96c3,https://www.thetford-europe.com/gb/products/toilets/portable-toilets/porta-potti-565p,thetford-europe.com,Thetford,en,Porta Potti 565P
