Type,brand,file_urls,model,product,product_lang,source,thumb,url
Инструкция ,Scarlett,scarlett.ru/ajax/files/11850/bad97e50081514d665ff31cb67b65125/,sc-hs60598,Стайлер для волос,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/d38/sc-hs60598.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60598/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11618/99083f581e5e34d5b3bc1c1a3b0da333/,sc-hs60499,Щипцы для завивки волос,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/ca4/SC_HS60003.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60499/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11830/baf0f49edfad4fb59d40c0c6138e375a/,sc-hs60002,Щипцы для волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/003/1000_1500_1/SC_HS60002.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60002/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11763/5d34b3eb009f512aa2a5f7b3ab355e56/,sc-hs60599,Щипцы для волос 2в1,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/2d8/1000_1500_1/SC_HS60599_Gold.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60599/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11744/3f2e930a08efdd0ab683f93fb256b311/,sc-hs60600,Щипцы для выпрямления волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/022/1000_1500_1/SC_HS60600_02.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60600/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11572/6dc34c9d482b6effcd132f27666b3252/,sc-hs60399,Щипцы для завивки волос,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/42d/sc-hs60399.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60399/
Инструкция ,Scarlett,scarlett.ru/ajax/files/11578/33734e9a82cd62de57d31180bd6b0e38/,sc-hs60592,Щипцы для выпрямления волос,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/719/1000_1500_1/SC_HS60592_s_lampo4koj.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/shchiptsy-dlya-volos/ITM_sc-hs60592/
Инструкция ,Scarlett,scarlett.ru/ajax/files/20643/8b14fa3e8ea01c8188ec0008141e244e/,sc-has73i23,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/89a/1000_1500_1/001_Key_Visual_SC_HAS73I23_all.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i23/
Инструкция ,Scarlett,scarlett.ru/ajax/files/20641/0985d6519ee9e1b341143b8673cd412c/,sc-has73i24,ФЕН-РАСЧЕСКА,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/82c/1000_1500_1/001_Key_Visual_SC_HAS73I24_all.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i24/
Инструкция ,Scarlett,scarlett.ru/ajax/files/20645/97542cb3f33cc2cfca3e47f759389ec4/,sc-has73i22,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/2df/1000_1500_1/001_Key_Visual_SC_HAS73I04_all.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i22/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12490/66d5fbd9cf945234f1c8a58a0813647f/,sc-has7400,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/577/1000_1500_1/001_Key_Vesual_SC_HAS7400_all.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has7400/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12250/29b05958bf3f90b045b28343d32e4773/,sc-hs60590,Стайлер для волоc,ru,scarlett.ru,http://www.scarlett.ru/upload/iblock/40b/sc-hs6590.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-hs60590/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12152/d7980677e076a715451aec80b786437d/,sc-has73i07,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/b96/1000_1500_1/001_Key_Visual_SC_HAS73I07_1.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i07/
Инструкция ,Scarlett,scarlett.ru/ajax/files/12165/17d44b413ccf33f48e79f49457f05e76/,sc-has73i08,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/848/1000_1500_1/001_Key_Visual_SC_HAS73I08.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i08/
Инструкция ,Scarlett,scarlett.ru/ajax/files/170895/ef4161789994442728f394a0cd283942/,sc-has73i06,Фен-расческа,ru,scarlett.ru,http://www.scarlett.ru/upload/resize_cache/iblock/7e1/1000_1500_1/001_Key_Visual_SC_HAS73I06.png,https://www.scarlett.ru/catalog/krasota-i-zdorove/ukhod-za-volosami/feny-rascheski/ITM_sc-has73i06/
