file_urls,type,product,product_parent,model,thumb,url,source,brand,product_lang
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/KMI8560.0-_UserManual-IT_ES_PT.pdf,Manual de instrucciones,Inducción con Campana,PLACAS,KMI 8560.0SR,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/3/PR80724BI29677_123160006_KMI8560_0SR_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/kmi8560-0sr_123160006/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/KMI8560.0SR-ProductSheet-ES.pdf,Ficha de producto,Inducción con Campana,PLACAS,KMI 8560.0SR,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/3/PR80724BI29677_123160006_KMI8560_0SR_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/kmi8560-0sr_123160006/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/VKM1820.0SR-ProductSheet-ES.pdf,Ficha de producto,Inducción con Campana,PLACAS,VKM 1820.0SR,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/1/PR80727BI29936_122900003_VKM1820_0SR_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/vkm1820-0sr_122900003/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CKV6550.0W-ProductSheet-ES.pdf,Ficha de producto,Cafeteras,HORNOS,CKV 6550.0W,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61264BI29595_121640009_CKV6550_0W_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/ckv6550-0w_121640009/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/CM6330.0S-ProductSheet-ES.pdf,Ficha de producto,Microondas Compactos,HORNOS,CM 6330.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/PR61240BI29598_121920000_CM6330_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/cm6330-0s_121920000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/KMI9800.0S-ProductSheet-ES.pdf,Ficha de producto,Inducción con Campana,PLACAS,KMI 9800.0SR,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR70143BI29680_122500021_KMI9800_0SR_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/kmi9800-0sr_122500021/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/KI6520.0WR-ProductSheet-ES.pdf,Ficha de producto,Inducción,PLACAS,KI 6520.0WR,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR61551BI29657_122510011_KI6520_0WR_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/ki6520-0wr_122510011/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/M6120.0S-ProductSheet-ES.pdf,Ficha de producto,Microondas,HORNOS,M 6120.0,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/1/PR70173BI29933_122050018_M6120_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/m6120-0s_122050018/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/ML6330.0S-ProductSheet-ES.pdf,Ficha de producto,Microondas,HORNOS,ML 6330.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR80718BI29684_122050000_ML6330_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/ml6330-0s_122050000/,home-kueppersbusch.com,Küppersbusch,es
https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/files/MR6330.0S-ProductSheet-ES.pdf,Ficha de producto,Microondas,HORNOS,MR 6330.0S,https://d7rh5s3nxmpy4.cloudfront.net/CMP1219/2/PR80721BI29685_122050009_MR6330_0S_SZ7.png,https://www.home-kueppersbusch.com/es-es/producto/mr6330-0s_122050009/,home-kueppersbusch.com,Küppersbusch,es
